Via Unit 0,Via Unit 2,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
137,37,2,RW,DWord,Counter of Digital Input 2.18,,Basic
139,39,2,RW,DWord,Counter of Digital Input 2.19,,Basic
141,41,2,RW,DWord,Counter of Digital Input 2.20,,Basic
143,43,2,RW,DWord,Counter of Digital Input 2.21,,Basic
145,45,2,RW,DWord,Counter of Digital Input 2.22,,Basic
147,47,2,RW,DWord,Counter of Digital Input 2.23,,Basic
149,49,2,RW,DWord,Counter of Digital Input 2.24,,Basic
151,51,2,RW,DWord,Counter of Digital Input 2.25,,Basic
153,53,2,RW,DWord,Counter of Digital Input 2.26,,Basic
155,55,2,RW,DWord,Counter of Digital Input 2.27,,Basic
157,57,2,RW,DWord,Counter of Digital Input 2.28,,Basic
159,59,2,RW,DWord,Counter of Digital Input 2.29,,Basic
161,61,2,RW,DWord,Counter of Digital Input 2.30,,Basic
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 2.1,,Obsolete
600,500,1,W,Word,Reserved - Do Not Use,,Reserved
601,501,1,W,Word,Reserved - Do Not Use,,Reserved
602,502,1,W,Word,Reserved - Do Not Use,,Reserved
603,503,1,W,Word,Reserved - Do Not Use,,Reserved
604,504,1,W,Word,Reserved - Do Not Use,,Reserved
605,505,1,W,Word,Reserved - Do Not Use,,Reserved
606,506,1,W,Word,Reserved - Do Not Use,,Reserved
607,507,1,W,Word,Reserved - Do Not Use,,Reserved
608,508,1,W,Word,Reserved - Do Not Use,,Reserved
609,509,1,W,Word,Reserved - Do Not Use,,Reserved
,510,1,RW,Word,(Internal) Stored Firmware Version,,Expert
,511,1,RW,Word,(Internal) Stored Firmware Revision,,Expert
,512,1,RW,Word,(Internal) Stored Base Firmware Revision,,Expert
,513,1,RW,Word,(Internal) Stored Expanded Flash Magic Value,,Expert
,514,1,RW,Word,(Internal) Stored PCB Revision,,Expert
,515,1,RW,Word,(Internal) Stored PCB Serial Number,,Expert
,516,1,RW,Word,(Internal) Stored HW Revision Number,,Expert
1100,1000,1,R,Word,Firmware Version,,Expert
1101,1001,1,R,Word,Number of I/Os,,Advanced
1102,1002,1,R,Word,Number of peripherals,,Advanced
1103,1003,1,R,Word,Firmware ID,,Expert
1104,1004,1,R,Word,Hardware ID,,Expert
1105,1005,2,R,DWord,PCB Serial Number,,Expert
1107,1007,1,RW,Word,Interrupt Mask,,Expert
1108,1008,1,RW,Word,Group MasterWatchDog (MWD) Timeout (in 100us),,Advanced
1109,1009,1,R,Word,VRef of MCU,,Expert
1110,1010,1,RW,Word,Debounce time (in 100us) for DI 2.1,,Advanced
1111,1011,1,RW,Word,Debounce time (in 100us) for DI 2.2,,Advanced
1112,1012,1,RW,Word,Debounce time (in 100us) for DI 2.3,,Advanced
1113,1013,1,RW,Word,Debounce time (in 100us) for DI 2.4,,Advanced
1114,1014,1,RW,Word,Debounce time (in 100us) for DI 2.5,,Advanced
1115,1015,1,RW,Word,Debounce time (in 100us) for DI 2.6,,Advanced
1116,1016,1,RW,Word,Debounce time (in 100us) for DI 2.7,,Advanced
1117,1017,1,RW,Word,Debounce time (in 100us) for DI 2.8,,Advanced
1118,1018,1,RW,Word,Debounce time (in 100us) for DI 2.9,,Advanced
1119,1019,1,RW,Word,Debounce time (in 100us) for DI 2.10,,Advanced
1120,1020,1,RW,Word,Debounce time (in 100us) for DI 2.11,,Advanced
1121,1021,1,RW,Word,Debounce time (in 100us) for DI 2.12,,Advanced
1122,1022,1,RW,Word,Debounce time (in 100us) for DI 2.13,,Advanced
1123,1023,1,RW,Word,Debounce time (in 100us) for DI 2.14,,Advanced
1124,1024,1,RW,Word,Debounce time (in 100us) for DI 2.15,,Advanced
1125,1025,1,RW,Word,Debounce time (in 100us) for DI 2.16,,Advanced
1126,1026,1,RW,Word,Debounce time (in 100us) for DI 2.17,,Advanced
1127,1027,1,RW,Word,Debounce time (in 100us) for DI 2.18,,Advanced
1128,1028,1,RW,Word,Debounce time (in 100us) for DI 2.19,,Advanced
1129,1029,1,RW,Word,Debounce time (in 100us) for DI 2.20,,Advanced
1130,1030,1,RW,Word,Debounce time (in 100us) for DI 2.21,,Advanced
1131,1031,1,RW,Word,Debounce time (in 100us) for DI 2.22,,Advanced
1132,1032,1,RW,Word,Debounce time (in 100us) for DI 2.23,,Advanced
1133,1033,1,RW,Word,Debounce time (in 100us) for DI 2.24,,Advanced
1134,1034,1,RW,Word,Debounce time (in 100us) for DI 2.25,,Advanced
1135,1035,1,RW,Word,Debounce time (in 100us) for DI 2.26,,Advanced
1136,1036,1,RW,Word,Debounce time (in 100us) for DI 2.27,,Advanced
1137,1037,1,RW,Word,Debounce time (in 100us) for DI 2.28,,Advanced
1138,1038,1,RW,Word,Debounce time (in 100us) for DI 2.29,,Advanced
1139,1039,1,RW,Word,Debounce time (in 100us) for DI 2.30,,Advanced
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
