Via Unit 0,Via Unit 3,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
,516,1,RW,Word,(Internal) Stored HW Revision Number,,Expert
1200,1000,1,R,Word,Firmware Version,,Expert
1201,1001,1,R,Word,Number of I/Os,,Advanced
1202,1002,1,R,Word,Number of peripherals,,Advanced
1203,1003,1,R,Word,Firmware ID,,Expert
1204,1004,1,R,Word,Hardware ID,,Expert
1205,1005,2,R,DWord,PCB Serial Number,,Expert
1207,1007,1,RW,Word,Interrupt Mask,,Expert
1208,1008,1,RW,Word,Group MasterWatchDog (MWD) Timeout (in 100us),,Advanced
1209,1009,1,R,Word,VRef of MCU,,Expert
1210,1010,1,RW,Word,Debounce time (in 100us) for DI 3.1,,Advanced
1211,1011,1,RW,Word,Debounce time (in 100us) for DI 3.2,,Advanced
1212,1012,1,RW,Word,Debounce time (in 100us) for DI 3.3,,Advanced
1213,1013,1,RW,Word,Debounce time (in 100us) for DI 3.4,,Advanced
1214,1014,1,RW,Word,Debounce time (in 100us) for DI 3.5,,Advanced
1215,1015,1,RW,Word,Debounce time (in 100us) for DI 3.6,,Advanced
1216,1016,1,RW,Word,Debounce time (in 100us) for DI 3.7,,Advanced
1217,1017,1,RW,Word,Debounce time (in 100us) for DI 3.8,,Advanced
1218,1018,1,RW,Word,Debounce time (in 100us) for DI 3.9,,Advanced
1219,1019,1,RW,Word,Debounce time (in 100us) for DI 3.10,,Advanced
1220,1020,1,RW,Word,Debounce time (in 100us) for DI 3.11,,Advanced
1221,1021,1,RW,Word,Debounce time (in 100us) for DI 3.12,,Advanced
1222,1022,1,RW,Word,Debounce time (in 100us) for DI 3.13,,Advanced
1223,1023,1,RW,Word,Debounce time (in 100us) for DI 3.14,,Advanced
1224,1024,1,RW,Word,Debounce time (in 100us) for DI 3.15,,Advanced
1225,1025,1,RW,Word,Debounce time (in 100us) for DI 3.16,,Advanced
1226,1026,1,RW,Word,Debounce time (in 100us) for DI 3.17,,Advanced
1227,1027,1,RW,Word,Debounce time (in 100us) for DI 3.18,,Advanced
1228,1028,1,RW,Word,Debounce time (in 100us) for DI 3.19,,Advanced
1229,1029,1,RW,Word,Debounce time (in 100us) for DI 3.20,,Advanced
1230,1030,1,RW,Word,Debounce time (in 100us) for DI 3.21,,Advanced
1231,1031,1,RW,Word,Debounce time (in 100us) for DI 3.22,,Advanced
1232,1032,1,RW,Word,Debounce time (in 100us) for DI 3.23,,Advanced
1233,1033,1,RW,Word,Debounce time (in 100us) for DI 3.24,,Advanced
1234,1034,1,RW,Word,Debounce time (in 100us) for DI 3.25,,Advanced
1235,1035,1,RW,Word,Debounce time (in 100us) for DI 3.26,,Advanced
1236,1036,1,RW,Word,Debounce time (in 100us) for DI 3.27,,Advanced
1237,1037,1,RW,Word,Debounce time (in 100us) for DI 3.28,,Advanced
1238,1038,1,RW,Word,Debounce time (in 100us) for DI 3.29,,Advanced
1239,1039,1,RW,Word,Debounce time (in 100us) for DI 3.30,,Advanced
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
