Via Unit 0,Via Unit 2,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
605,505,1,W,Word,Reserved - Do Not Use,,Reserved
606,506,1,W,Word,Reserved - Do Not Use,,Reserved
607,507,1,W,Word,Reserved - Do Not Use,,Reserved
608,508,1,W,Word,Reserved - Do Not Use,,Reserved
609,509,1,W,Word,Reserved - Do Not Use,,Reserved
,510,1,RW,Word,(Internal) Stored Firmware Version,,Expert
,511,1,RW,Word,(Internal) Stored Firmware Revision,,Expert
,512,1,RW,Word,(Internal) Stored Base Firmware Revision,,Expert
,513,1,RW,Word,(Internal) Stored Expanded Flash Magic Value,,Expert
,514,1,RW,Word,(Internal) Stored PCB Revision,,Expert
,515,1,RW,Word,(Internal) Stored PCB Serial Number,,Expert
,516,1,RW,Word,(Internal) Stored HW Revision Number,,Expert
1100,1000,1,R,Word,Firmware Version,,Expert
1101,1001,1,R,Word,Number of I/Os,,Advanced
1102,1002,1,R,Word,Number of peripherals,,Advanced
1103,1003,1,R,Word,Firmware ID,,Expert
1104,1004,1,R,Word,Hardware ID,,Expert
1105,1005,2,R,DWord,PCB Serial Number,,Expert
1107,1007,1,RW,Word,Interrupt Mask,,Expert
1108,1008,1,RW,Word,Group MasterWatchDog (MWD) Timeout (in 100us),,Advanced
1109,1009,1,R,Word,VRef of MCU,,Expert
1110,1010,1,RW,Word,Debounce time (in 100us) for DI 2.1,,Advanced
1111,1011,1,RW,Word,Debounce time (in 100us) for DI 2.2,,Advanced
1112,1012,1,RW,Word,Debounce time (in 100us) for DI 2.3,,Advanced
1113,1013,1,RW,Word,Debounce time (in 100us) for DI 2.4,,Advanced
1114,1014,1,RW,Word,Debounce time (in 100us) for DI 2.5,,Advanced
1115,1015,1,RW,Word,Debounce time (in 100us) for DI 2.6,,Advanced
1116,1016,1,RW,MixedBits,Enable DirectSwitch on DI 2.1,0,Basic
1116,1016,1,RW,MixedBits,Enable DirectSwitch on DI 2.2,1,Basic
1116,1016,1,RW,MixedBits,Enable DirectSwitch on DI 2.3,2,Basic
1116,1016,1,RW,MixedBits,Enable DirectSwitch on DI 2.4,3,Basic
1116,1016,1,RW,MixedBits,Enable DirectSwitch on DI 2.5,4,Basic
1117,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 2.1,0,Basic
1117,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 2.2,1,Basic
1117,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 2.3,2,Basic
1117,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 2.4,3,Basic
1117,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 2.5,4,Basic
1118,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 2.1,0,Basic
1118,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 2.2,1,Basic
1118,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 2.3,2,Basic
1118,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 2.4,3,Basic
1118,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 2.5,4,Basic
1119,1019,1,RW,Word,Analog Input Configuration(U/I/R) 2.1,,Basic
1120,1020,1,RW,Word,Analog Input Configuration(U/I/R) 2.2,,Basic
1121,1021,1,RW,Word,Analog Input Configuration(U/I/R) 2.3,,Basic
1122,1022,1,RW,Word,Analog Input Configuration(U/I/R) 2.4,,Basic
1123,1023,1,RW,MixedBits,RS485 Configuration 2.1,,Obsolete
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
