Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
,510,1,RW,Word,(Internal) Stored Firmware Version,,Expert
,511,1,RW,Word,(Internal) Stored Firmware Revision,,Expert
,512,1,RW,Word,(Internal) Stored Base Firmware Revision,,Expert
,513,1,RW,Word,(Internal) Stored Expanded Flash Magic Value,,Expert
,514,1,RW,Word,(Internal) Stored PCB Revision,,Expert
,515,1,RW,Word,(Internal) Stored PCB Serial Number,,Expert
,516,1,RW,Word,(Internal) Stored HW Revision Number,,Expert
1000,1000,1,R,Word,Firmware Version,,Expert
1001,1001,1,R,Word,Number of I/Os,,Advanced
1002,1002,1,R,Word,Number of peripherals,,Advanced
1003,1003,1,R,Word,Firmware ID,,Expert
1004,1004,1,R,Word,Hardware ID,,Expert
1005,1005,2,R,DWord,PCB Serial Number,,Expert
1007,1007,1,RW,Word,Interrupt Mask,,Expert
1008,1008,1,RW,Word,Group MasterWatchDog (MWD) Timeout (in 100us),,Advanced
1009,1009,1,R,Word,VRef of MCU,,Expert
1010,1010,1,RW,Word,Debounce time (in 100us) for DI 1.1,,Advanced
1011,1011,1,RW,Word,Debounce time (in 100us) for DI 1.2,,Advanced
1012,1012,1,RW,Word,Debounce time (in 100us) for DI 1.3,,Advanced
1013,1013,1,RW,Word,Debounce time (in 100us) for DI 1.4,,Advanced
1014,1014,1,RW,MixedBits,Enable DirectSwitch on DI 1.1,0,Basic
1014,1014,1,RW,MixedBits,Enable DirectSwitch on DI 1.2,1,Basic
1014,1014,1,RW,MixedBits,Enable DirectSwitch on DI 1.3,2,Basic
1014,1014,1,RW,MixedBits,Enable DirectSwitch on DI 1.4,3,Basic
1015,1015,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 1.1,0,Basic
1015,1015,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 1.2,1,Basic
1015,1015,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 1.3,2,Basic
1015,1015,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 1.4,3,Basic
1016,1016,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 1.1,0,Basic
1016,1016,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 1.2,1,Basic
1016,1016,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 1.3,2,Basic
1016,1016,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 1.4,3,Basic
1017,1017,1,RW,Word,PWM Group prescaler,,Basic
1018,1018,1,RW,Word,PWM Group cycle length,,Basic
1019,1019,1,RW,Word,Analog Output Configuration(U/I/R-measure) 1.1,,Basic
1020,1020,1,RW,Word,Analog Output Voltage deviation 1.1,,Expert
1021,1021,1,RW,Word,Analog Output Voltage offset 1.1,,Expert
1022,1022,1,RW,Word,Analog Output Current deviation 1.1,,Expert
1023,1023,1,RW,Word,Analog Output Current offset 1.1,,Expert
1024,1024,1,RW,Word,Analog Input Configuration(U/I) 1.1,,Basic
1025,1025,1,RW,Word,Analog Input Voltage deviation 1.1,,Expert
1026,1026,1,RW,Word,Analog Input Voltage offset 1.1,,Expert
1027,1027,1,RW,Word,Analog Input Current deviation 1.1,,Expert
1028,1028,1,RW,Word,Analog Input Current offset 1.1,,Expert
1029,1029,1,RW,Word,Analog Input/Output Voltage deviation (input side) 1.1,,Expert
1030,1030,1,RW,Word,Analog Input/Output Voltage offset (input side) 1.1,,Expert
1031,1031,1,RW,MixedBits,RS485 Configuration 1.1,,Obsolete
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
3000,3000,1,RW,Real,Analog Output value 1.1,,Basic
3001,3001,1,R,Real,Analog Input value 1.1,,Basic
3002,3002,1,R,Real,(Internal) Analog Output measured voltage value 1.1,,Expert
