Via Unit 0,Via Unit 3,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
1216,1016,1,RW,MixedBits,Enable DirectSwitch on DI 3.3,2,Basic
1216,1016,1,RW,MixedBits,Enable DirectSwitch on DI 3.4,3,Basic
1216,1016,1,RW,MixedBits,Enable DirectSwitch on DI 3.5,4,Basic
1217,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 3.1,0,Basic
1217,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 3.2,1,Basic
1217,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 3.3,2,Basic
1217,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 3.4,3,Basic
1217,1017,1,RW,MixedBits,Invert DirectSwitch Polarity on DI 3.5,4,Basic
1218,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 3.1,0,Basic
1218,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 3.2,1,Basic
1218,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 3.3,2,Basic
1218,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 3.4,3,Basic
1218,1018,1,RW,MixedBits,Enable DirectSwitch Toggle on DI 3.5,4,Basic
1219,1019,1,RW,Word,Analog Input Configuration(U/I/R) 3.1,,Basic
1220,1020,1,RW,Word,Analog Input Configuration(U/I/R) 3.2,,Basic
1221,1021,1,RW,Word,Analog Input Configuration(U/I/R) 3.3,,Basic
1222,1022,1,RW,Word,Analog Input Configuration(U/I/R) 3.4,,Basic
1223,1023,1,RW,MixedBits,RS485 Configuration 3.1,,Obsolete
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
